period,mr_id,project_id,approver_id
Post-AI,472,170,47
Post-AI,472,170,8
Post-AI,470,170,11
Post-AI,470,170,185
Post-AI,469,170,222
Post-AI,469,170,11
Post-AI,468,170,222
Post-AI,468,170,12
Post-AI,467,170,7
Post-AI,467,170,12
Post-AI,466,170,4
Post-AI,466,170,7
Post-AI,465,170,11
Post-AI,465,170,222
Post-AI,464,170,11
Post-AI,464,170,222
Post-AI,463,170,4
Post-AI,463,170,7
Post-AI,462,170,4
Post-AI,462,170,7
Post-AI,461,170,185
Post-AI,461,170,209
Post-AI,460,170,185
Post-AI,460,170,222
Post-AI,459,170,4
Post-AI,459,170,7
Post-AI,458,170,4
Post-AI,458,170,12
Post-AI,457,170,222
Post-AI,457,170,209
Post-AI,456,170,12
Post-AI,456,170,222
Post-AI,454,170,7
Post-AI,454,170,4
Post-AI,453,170,4
Post-AI,453,170,12
Post-AI,451,170,222
Post-AI,451,170,181
Post-AI,451,170,209
Post-AI,450,170,185
Post-AI,450,170,222
Post-AI,449,170,185
Post-AI,449,170,222
Post-AI,448,170,4
Post-AI,448,170,185
Post-AI,447,170,185
Post-AI,447,170,138
Post-AI,446,170,222
Post-AI,446,170,209
Post-AI,446,170,185
Post-AI,439,170,7
Post-AI,439,170,4
Post-AI,438,170,4
Post-AI,438,170,12
Post-AI,437,170,185
Post-AI,437,170,222
Post-AI,437,170,209
Post-AI,436,170,4
Post-AI,436,170,7
Post-AI,435,170,12
Post-AI,435,170,4
Post-AI,434,170,222
Post-AI,434,170,4
Post-AI,432,170,222
Post-AI,432,170,185
Post-AI,431,170,185
Post-AI,431,170,138
Post-AI,430,170,222
Post-AI,430,170,138
Post-AI,429,170,222
Post-AI,429,170,12
Post-AI,428,170,4
Post-AI,428,170,12
Post-AI,427,170,7
Post-AI,427,170,12
Post-AI,426,170,185
Post-AI,426,170,138
Post-AI,425,170,185
Post-AI,425,170,222
Post-AI,423,170,222
Post-AI,423,170,185
Post-AI,422,170,185
Post-AI,422,170,11
Post-AI,421,170,222
Post-AI,421,170,185
Post-AI,419,170,185
Post-AI,419,170,12
Post-AI,418,170,181
Post-AI,418,170,185
Post-AI,418,170,222
Post-AI,417,170,222
Post-AI,417,170,181
Post-AI,417,170,138
Post-AI,416,170,185
Post-AI,416,170,222
Post-AI,415,170,185
Post-AI,415,170,222
Post-AI,414,170,7
Post-AI,414,170,12
Post-AI,413,170,11
Post-AI,413,170,185
Post-AI,412,170,7
Post-AI,412,170,12
Post-AI,411,170,4
Post-AI,411,170,12
Post-AI,410,170,11
Post-AI,410,170,222
Post-AI,409,170,185
Post-AI,409,170,11
Post-AI,408,170,138
Post-AI,408,170,222
Post-AI,406,170,222
Post-AI,406,170,4
Post-AI,405,170,4
Post-AI,405,170,12
Post-AI,402,170,7
Post-AI,402,170,185
Post-AI,401,170,12
Post-AI,401,170,185
Post-AI,400,170,4
Post-AI,400,170,12
Post-AI,399,170,185
Post-AI,399,170,7
Post-AI,398,170,222
Post-AI,398,170,185
Post-AI,397,170,7
Post-AI,397,170,4
Post-AI,396,170,11
Post-AI,396,170,7
Post-AI,395,170,11
Post-AI,395,170,7
Post-AI,394,170,11
Post-AI,394,170,7
Post-AI,393,170,7
Post-AI,393,170,222
Post-AI,392,170,11
Post-AI,392,170,7
Post-AI,392,170,60
Post-AI,391,170,11
Post-AI,391,170,185
Post-AI,390,170,11
Post-AI,390,170,185
Post-AI,389,170,11
Post-AI,389,170,185
Post-AI,388,170,222
Post-AI,388,170,138
Post-AI,387,170,222
Post-AI,387,170,138
Post-AI,386,170,222
Post-AI,386,170,185
Post-AI,385,170,185
Post-AI,385,170,138
Post-AI,384,170,185
Post-AI,384,170,222
Post-AI,383,170,138
Post-AI,383,170,185
Post-AI,382,170,222
Post-AI,382,170,185
Post-AI,381,170,222
Post-AI,381,170,185
Post-AI,380,170,138
Post-AI,380,170,185
Post-AI,377,170,7
Post-AI,377,170,12
Post-AI,376,170,222
Post-AI,376,170,185
Post-AI,374,170,11
Post-AI,374,170,222
Post-AI,373,170,185
Post-AI,373,170,4
Post-AI,372,170,185
Post-AI,372,170,138
Post-AI,371,170,138
Post-AI,371,170,185
Post-AI,370,170,4
Post-AI,370,170,7
Post-AI,369,170,11
Post-AI,369,170,185
Post-AI,368,170,222
Post-AI,368,170,185
Post-AI,367,170,185
Post-AI,367,170,11
Post-AI,366,170,185
Post-AI,366,170,222
Post-AI,365,170,4
Post-AI,365,170,60
Post-AI,365,170,12
Post-AI,364,170,4
Post-AI,364,170,11
Post-AI,363,170,11
Post-AI,363,170,185
Post-AI,362,170,11
Post-AI,362,170,222
Post-AI,361,170,222
Post-AI,361,170,185
Post-AI,360,170,185
Post-AI,360,170,12
Post-AI,359,170,4
Post-AI,359,170,47
Post-AI,359,170,12
Post-AI,358,170,222
Post-AI,358,170,185
Post-AI,357,170,11
Post-AI,357,170,185
Post-AI,356,170,222
Post-AI,356,170,4
Post-AI,355,170,7
Post-AI,355,170,222
Post-AI,354,170,12
Post-AI,354,170,4
Post-AI,352,170,185
Post-AI,352,170,222
Post-AI,350,170,185
Post-AI,350,170,12
Post-AI,349,170,185
Post-AI,349,170,11
Post-AI,348,170,222
Post-AI,348,170,4
Post-AI,347,170,4
Post-AI,347,170,12
Post-AI,346,170,185
Post-AI,346,170,136
Post-AI,345,170,185
Post-AI,345,170,222
Post-AI,344,170,4
Post-AI,344,170,12
Post-AI,343,170,12
Post-AI,343,170,4
Post-AI,341,170,185
Post-AI,341,170,4
Post-AI,340,170,222
Post-AI,340,170,12
Post-AI,339,170,138
Post-AI,339,170,136
Post-AI,338,170,185
Post-AI,338,170,138
Post-AI,337,170,185
Post-AI,337,170,138
Post-AI,336,170,185
Post-AI,336,170,12
Post-AI,335,170,7
Post-AI,335,170,12
Post-AI,334,170,185
Post-AI,334,170,8
Post-AI,333,170,7
Post-AI,333,170,11
Post-AI,332,170,136
Post-AI,332,170,185
Post-AI,331,170,185
Post-AI,331,170,222
Post-AI,330,170,4
Post-AI,330,170,12
Post-AI,329,170,222
Post-AI,329,170,7
Post-AI,328,170,7
Post-AI,328,170,12
Post-AI,327,170,222
Post-AI,327,170,185
Post-AI,325,170,11
Post-AI,325,170,222
Post-AI,324,170,11
Post-AI,324,170,185
Post-AI,323,170,185
Post-AI,323,170,11
Post-AI,322,170,185
Post-AI,322,170,222
Post-AI,322,170,136
Post-AI,321,170,185
Post-AI,321,170,136
Post-AI,320,170,185
Post-AI,320,170,4
Post-AI,319,170,185
Post-AI,319,170,4
Post-AI,318,170,185
Post-AI,318,170,4
Post-AI,317,170,11
Post-AI,317,170,222
Post-AI,316,170,7
Post-AI,316,170,12
Post-AI,315,170,222
Post-AI,315,170,11
Post-AI,314,170,11
Post-AI,314,170,7
Post-AI,313,170,185
Post-AI,313,170,4
Post-AI,312,170,222
Post-AI,312,170,4
Post-AI,311,170,185
Post-AI,311,170,4
Post-AI,310,170,11
Post-AI,310,170,222
Post-AI,309,170,185
Post-AI,309,170,222
Post-AI,309,170,136
Post-AI,308,170,185
Post-AI,308,170,11
Post-AI,307,170,185
Post-AI,307,170,4
Post-AI,306,170,222
Post-AI,306,170,185
Post-AI,305,170,185
Post-AI,305,170,7
Post-AI,304,170,7
Post-AI,304,170,12
Post-AI,303,170,136
Post-AI,303,170,7
Post-AI,302,170,181
Post-AI,302,170,185
Post-AI,302,170,11
Post-AI,301,170,185
Post-AI,301,170,222
Post-AI,301,170,181
Post-AI,300,170,185
Post-AI,300,170,222
Post-AI,299,170,185
Post-AI,299,170,12
Post-AI,298,170,222
Post-AI,298,170,7
Post-AI,297,170,185
Post-AI,297,170,4
Post-AI,296,170,222
Post-AI,296,170,185
Post-AI,295,170,4
Post-AI,295,170,12
Post-AI,294,170,185
Post-AI,294,170,4
Post-AI,293,170,12
Post-AI,293,170,7
Post-AI,292,170,185
Post-AI,292,170,11
Post-AI,289,170,7
Post-AI,289,170,185
Post-AI,288,170,12
Post-AI,288,170,7
Post-AI,287,170,185
Post-AI,287,170,136
Post-AI,286,170,185
Post-AI,286,170,4
Post-AI,285,170,11
Post-AI,285,170,222
Post-AI,284,170,222
Post-AI,284,170,7
Post-AI,282,170,185
Post-AI,282,170,222
Post-AI,281,170,11
Post-AI,281,170,222
Post-AI,280,170,4
Post-AI,280,170,7
Post-AI,279,170,4
Post-AI,279,170,12
Post-AI,278,170,185
Post-AI,278,170,7
Post-AI,276,170,4
Post-AI,276,170,12
Post-AI,275,170,185
Post-AI,275,170,11
Post-AI,274,170,185
Post-AI,274,170,138
Post-AI,274,170,222
Post-AI,271,170,11
Post-AI,271,170,222
Post-AI,271,170,136
Post-AI,270,170,185
Post-AI,270,170,11
Post-AI,265,170,185
Post-AI,265,170,4
Post-AI,264,170,185
Post-AI,264,170,7
Post-AI,263,170,222
Post-AI,263,170,138
Post-AI,262,170,185
Post-AI,262,170,222
Post-AI,262,170,11
Post-AI,261,170,222
Post-AI,261,170,185
Post-AI,260,170,11
Post-AI,260,170,185
Post-AI,259,170,11
Post-AI,259,170,7
Post-AI,259,170,185
Post-AI,258,170,185
Post-AI,258,170,222
Post-AI,257,170,185
Post-AI,257,170,222
Post-AI,256,170,222
Post-AI,256,170,185
Post-AI,255,170,185
Post-AI,255,170,4
Post-AI,254,170,185
Post-AI,254,170,222
Post-AI,253,170,7
Post-AI,253,170,185
Post-AI,252,170,185
Post-AI,252,170,12
Post-AI,251,170,7
Post-AI,251,170,12
Post-AI,249,170,7
Post-AI,249,170,4
Post-AI,248,170,7
Post-AI,248,170,4
Post-AI,247,170,7
Post-AI,247,170,185
Post-AI,246,170,4
Post-AI,246,170,12
Post-AI,244,170,138
Post-AI,244,170,11
Post-AI,243,170,222
Post-AI,243,170,185
Post-AI,242,170,185
Post-AI,242,170,7
Post-AI,241,170,185
Post-AI,241,170,7
Post-AI,240,170,185
Post-AI,240,170,7
Post-AI,239,170,11
Post-AI,239,170,4
Post-AI,238,170,185
Post-AI,238,170,4
Post-AI,237,170,185
Post-AI,237,170,7
Post-AI,236,170,185
Post-AI,236,170,7
Post-AI,235,170,4
Post-AI,235,170,222
Post-AI,234,170,185
Post-AI,234,170,8
Post-AI,233,170,185
Post-AI,233,170,4
Post-AI,232,170,222
Post-AI,232,170,4
Post-AI,231,170,185
Post-AI,231,170,7
Post-AI,230,170,7
Post-AI,230,170,12
Post-AI,228,170,12
Post-AI,228,170,4
Post-AI,226,170,185
Post-AI,226,170,7
Post-AI,225,170,4
Post-AI,225,170,185
Post-AI,225,170,222
Post-AI,224,170,4
Post-AI,224,170,185
Post-AI,223,170,7
Post-AI,223,170,185
Post-AI,222,170,7
Post-AI,222,170,4
Post-AI,221,170,185
Post-AI,221,170,4
Post-AI,219,170,185
Post-AI,219,170,209
Post-AI,218,170,8
Post-AI,218,170,12
Post-AI,217,170,185
Post-AI,217,170,222
Post-AI,216,170,185
Post-AI,216,170,222
Post-AI,215,170,8
Post-AI,215,170,12
Post-AI,213,170,222
Post-AI,213,170,185
Post-AI,212,170,222
Post-AI,212,170,185
Post-AI,211,170,185
Post-AI,211,170,209
Post-AI,210,170,222
Post-AI,210,170,185
Post-AI,209,170,185
Post-AI,209,170,222
Post-AI,207,170,185
Post-AI,207,170,4
Post-AI,206,170,185
Post-AI,206,170,209
Post-AI,205,170,185
Post-AI,205,170,4
Post-AI,204,170,209
Post-AI,204,170,185
Post-AI,203,170,185
Post-AI,203,170,209
Post-AI,202,170,4
Post-AI,202,170,8
Post-AI,201,170,209
Post-AI,201,170,185
Post-AI,200,170,4
Post-AI,200,170,209
Post-AI,200,170,185
Post-AI,199,170,4
Post-AI,199,170,8
Post-AI,198,170,4
Post-AI,198,170,8
Post-AI,197,170,185
Post-AI,197,170,209
Post-AI,196,170,185
Post-AI,196,170,209
Post-AI,195,170,209
Post-AI,195,170,185
Post-AI,194,170,185
Post-AI,194,170,222
Post-AI,192,170,185
Post-AI,191,170,4
Post-AI,190,170,7
Post-AI,189,170,185
Post-AI,187,170,185
Post-AI,186,170,4
Post-AI,184,170,7
Post-AI,183,170,185
Post-AI,182,170,4
Pre-AI,14,157,185
Pre-AI,13,157,185
Pre-AI,12,157,185
Pre-AI,11,157,185
Pre-AI,10,157,185
Pre-AI,8,157,185
Pre-AI,6,157,185
Pre-AI,5,157,185
Pre-AI,4,157,185
Pre-AI,3,157,185
Pre-AI,2,157,185
Pre-AI,1,157,185
Pre-AI,15,177,4
Pre-AI,14,177,7
Pre-AI,13,177,139
Pre-AI,12,177,139
Pre-AI,11,177,139
Pre-AI,10,177,139
Pre-AI,9,177,139
Pre-AI,8,177,139
Pre-AI,7,177,185
Pre-AI,6,177,139
Pre-AI,5,177,139
Pre-AI,4,177,139
Pre-AI,3,177,139
Pre-AI,2,177,7
Pre-AI,900,152,4
Pre-AI,899,152,4
Pre-AI,898,152,4
Pre-AI,897,152,4
Pre-AI,896,152,4
Pre-AI,895,152,4
Pre-AI,894,152,8
Pre-AI,893,152,8
Pre-AI,892,152,4
Pre-AI,890,152,4
Pre-AI,888,152,4
Pre-AI,887,152,4
Pre-AI,886,152,4
Pre-AI,885,152,8
Pre-AI,884,152,4
Pre-AI,883,152,4
Pre-AI,882,152,8
Pre-AI,881,152,4
Pre-AI,880,152,4
Pre-AI,879,152,8
Pre-AI,878,152,8
Pre-AI,877,152,8
Pre-AI,876,152,8
Pre-AI,875,152,4
Pre-AI,874,152,4
Pre-AI,873,152,8
Pre-AI,872,152,4
Pre-AI,871,152,4
Pre-AI,870,152,4
Pre-AI,869,152,4
Pre-AI,869,152,8
Post-AI,127,157,11
Post-AI,126,157,11
Post-AI,125,157,11
Post-AI,124,157,4
Post-AI,123,157,11
Post-AI,122,157,11
Post-AI,121,157,222
Post-AI,120,157,4
Post-AI,119,157,222
Post-AI,118,157,136
Post-AI,118,157,138
Post-AI,117,157,11
Post-AI,116,157,185
Post-AI,115,157,185
Post-AI,114,157,185
Post-AI,113,157,7
Post-AI,112,157,185
Post-AI,111,157,11
Post-AI,110,157,11
Post-AI,109,157,11
Post-AI,108,157,185
Post-AI,107,157,185
Post-AI,106,157,222
Post-AI,104,157,7
Post-AI,103,157,185
Post-AI,102,157,11
Post-AI,101,157,11
Post-AI,100,157,181
Post-AI,99,157,181
Post-AI,98,157,181
Post-AI,96,157,7
Post-AI,95,157,11
Post-AI,94,157,11
Post-AI,93,157,11
Post-AI,92,157,11
Post-AI,91,157,11
Post-AI,90,157,11
Post-AI,89,157,185
Post-AI,88,157,11
Post-AI,87,157,4
Post-AI,86,157,11
Post-AI,85,157,185
Post-AI,84,157,185
Post-AI,83,157,185
Post-AI,82,157,11
Post-AI,81,157,11
Post-AI,80,157,138
Post-AI,79,157,11
Post-AI,78,157,138
Post-AI,77,157,11
Post-AI,76,157,11
Post-AI,75,157,185
Post-AI,74,157,4
Post-AI,73,157,7
Post-AI,72,157,138
Post-AI,71,157,185
Post-AI,70,157,11
Post-AI,69,157,11
Post-AI,68,157,185
Post-AI,67,157,7
Post-AI,66,157,138
Post-AI,65,157,138
Post-AI,64,157,185
Post-AI,63,157,11
Post-AI,62,157,11
Post-AI,61,157,7
Post-AI,60,157,4
Post-AI,59,157,138
Post-AI,58,157,185
Post-AI,57,157,138
Post-AI,56,157,11
Post-AI,55,157,185
Post-AI,54,157,11
Post-AI,53,157,11
Post-AI,52,157,11
Post-AI,51,157,185
Post-AI,50,157,11
Post-AI,49,157,11
Post-AI,48,157,185
Post-AI,47,157,185
Post-AI,46,157,11
Post-AI,45,157,11
Post-AI,44,157,185
Post-AI,43,157,11
Post-AI,42,157,185
Post-AI,41,157,11
Post-AI,40,157,11
Post-AI,39,157,4
Post-AI,37,157,7
Post-AI,35,157,4
Post-AI,34,157,4
Post-AI,33,157,11
Post-AI,32,157,185
Post-AI,31,157,138
Post-AI,30,157,11
Post-AI,29,157,11
Post-AI,28,157,4
Post-AI,27,157,11
Post-AI,26,157,138
Post-AI,26,157,185
Post-AI,25,157,185
Post-AI,24,157,4
Post-AI,23,157,185
Post-AI,22,157,185
Post-AI,21,157,185
Post-AI,20,157,185
Post-AI,18,157,185
Post-AI,17,157,185
Post-AI,15,157,11
Post-AI,21,177,138
Post-AI,20,177,138
Post-AI,19,177,138
Post-AI,18,177,138
Post-AI,17,177,138
Post-AI,16,177,138
Post-AI,125,220,7
Post-AI,124,220,185
Post-AI,123,220,185
Post-AI,122,220,185
Post-AI,121,220,185
Post-AI,119,220,7
Post-AI,118,220,185
Post-AI,117,220,185
Post-AI,115,220,11
Post-AI,114,220,4
Post-AI,113,220,222
Post-AI,112,220,11
Post-AI,111,220,185
Post-AI,110,220,185
Post-AI,109,220,185
Post-AI,108,220,4
Post-AI,107,220,222
Post-AI,106,220,4
Post-AI,105,220,7
Post-AI,104,220,12
Post-AI,103,220,185
Post-AI,102,220,185
Post-AI,101,220,222
Post-AI,100,220,7
Post-AI,99,220,185
Post-AI,97,220,185
Post-AI,96,220,185
Post-AI,95,220,12
Post-AI,94,220,4
Post-AI,93,220,222
Post-AI,92,220,11
Post-AI,91,220,222
Post-AI,90,220,222
Post-AI,89,220,7
Post-AI,88,220,185
Post-AI,87,220,185
Post-AI,86,220,222
Post-AI,85,220,222
Post-AI,84,220,222
Post-AI,84,220,138
Post-AI,83,220,185
Post-AI,82,220,222
Post-AI,81,220,185
Post-AI,80,220,222
Post-AI,79,220,185
Post-AI,77,220,222
Post-AI,76,220,222
Post-AI,75,220,222
Post-AI,74,220,7
Post-AI,73,220,185
Post-AI,73,220,222
Post-AI,72,220,11
Post-AI,70,220,185
Post-AI,69,220,222
Post-AI,68,220,222
Post-AI,67,220,7
Post-AI,66,220,185
Post-AI,65,220,185
Post-AI,64,220,7
Post-AI,63,220,11
Post-AI,62,220,11
Post-AI,61,220,222
Post-AI,60,220,4
Post-AI,59,220,11
Post-AI,59,220,222
Post-AI,58,220,185
Post-AI,57,220,11
Post-AI,56,220,185
Post-AI,55,220,185
Post-AI,54,220,185
Post-AI,53,220,185
Post-AI,52,220,222
Post-AI,50,220,11
Post-AI,50,220,222
Post-AI,49,220,222
Post-AI,48,220,222
Post-AI,47,220,12
Post-AI,45,220,185
Post-AI,43,220,185
Post-AI,42,220,7
Post-AI,41,220,185
Post-AI,40,220,11
Post-AI,40,220,185
Post-AI,39,220,7
Post-AI,38,220,222
Post-AI,37,220,185
Post-AI,35,220,12
Post-AI,35,220,7
Post-AI,35,220,4
Post-AI,34,220,222
Post-AI,33,220,222
Post-AI,32,220,4
Post-AI,31,220,185
Post-AI,29,220,4
Post-AI,28,220,4
Post-AI,27,220,185
Post-AI,25,220,11
Post-AI,25,220,185
Post-AI,24,220,222
Post-AI,23,220,185
Post-AI,22,220,222
Post-AI,18,220,185
Post-AI,17,220,222
Post-AI,16,220,11
Post-AI,16,220,185
Post-AI,16,220,222
Post-AI,15,220,222
Post-AI,14,220,4
Post-AI,14,220,7
Post-AI,13,220,222
Post-AI,12,220,222
Post-AI,11,220,185
Post-AI,10,220,222
Post-AI,9,220,4
Post-AI,8,220,222
Post-AI,7,220,185
Post-AI,6,220,185
Post-AI,6,220,222
Post-AI,6,220,4
Post-AI,5,220,185
Post-AI,3,220,185
Post-AI,1,220,185
Post-AI,935,152,8
Post-AI,932,152,47
Post-AI,929,152,4
Post-AI,927,152,4
Post-AI,924,152,7
Post-AI,923,152,7
Post-AI,922,152,185
Post-AI,921,152,4
Post-AI,918,152,185
Post-AI,917,152,7
Post-AI,916,152,8
Post-AI,914,152,185
Post-AI,913,152,8
Post-AI,912,152,8
Post-AI,911,152,4
Post-AI,910,152,4
Post-AI,909,152,4
Post-AI,908,152,4
Post-AI,905,152,4
